S.No,Review
24,"This problem faced by me while using this phone
automatically broken like diplay show...
Please Fix it Motorola Very Disspointed..😥😫😒😒😒"
25,Incredible
26,Best phone under this price
27,This phone is very good in this price range you can buy it
28,"Camera 3/5 ⭐
Display 4/5 ⭐
Performance 4/5 ⭐
Design 5/5 ⭐"
29,"Nice Phone for Normal Use in this segment....buy it for my mother.... Everything is good.....But, Today I got the delivery of this phone and the same day a green line appeared on screen in my moto g52 suddenly."
30,Good phone and price range but ram can 6gb is better and mobile can heating issue noticed and also missing some future like back-home button passion is not customised future can solve in update to.
31,"I am personally fan of stock android,but this device of Motorola having very bad RAM management.motorala have to work on this"
32,"Phone design is best but performance is not good
At this price range"
33,"Don't buy this mobile @@@ Poco better @@
Internet verry slow don't buy my dear friends"
34,"This smartphone is too good
Thank you so much motorola company
I am very happy
This smartphone sound systems is outstanding"
35,Very nice design mobile phone
36,"Nice product
Camera amazing 😍
Amazing battery
Display is so beautiful
And sound quality is super best Dolby Atmos support 🔥"
37,"Good condition for my phone 📱 moto g35
Good camera 📸 and battery 🔋 is all
Working with side finger 🤞"
38,Awesome Product. Must buy it without any doubt
39,Wow nice 🙂 design is very good 😊
40,Good items
41,"Back camera 3.5/5
Front camera 5/5
Display 5/5
Battery 4/5
Charging speed 3/5
Speaker 5/5
Design vegan leather finish 5/5
Brilliant according to price is very good 👍
Best phone under this price."
42,Nice Product 😃
43,"Great budget phone, super fast delivery by ekart, thanks to delivery person mr. Ajay.."
44,"It's delivered on the time.
Camera is little bit saturated and images going fade in 2x mode.
Battery usually drain more even in normal use.
Display is good in outside also you can see it.
Phone is not high functioning means it's hanging while you have 4 or more applications in background."
45,"Nice allrounder phone in this price category. UI is nearly stock android and very nice to use. 5G is working nicely and getting good speeds. Phone works smoothly on normal use like phone calls, social media, watching webseries and anime etc... display and speakers are awesome in this category. Device doesn't heat up much on normal use. But, not that good for playing heavy games. It's okay for playing BGMI at 45 fps at a good graphics and it's stable. When it comes to games like Genshin impact..."
46,"Design is great but Basic Apps are not available like Gallery, Music Player etc."
47,Value for money
48,"The camera is good for this price range, and the overall performance is very good."
49,Overall good @ this price. Premium look
50,Value for money
51,Battery drain so fast
52,There is curve in upper display design so not getting suitable screen guard... battery drains very quickly
53,Newly ordered mobile's battery is not giving back up for hardly half a day. Also has problem with phone's speaker.
54,"Everything is amazing. Cameras, design, looks, feel, everything is great. The battery is lil avg due to such a bright and beautiful display☺️"
55,Very good product . Value for money ❤️❤️
56,"First impression is very good . The camera is good at this price range . The display is also very good , performance till now is on point and haven't faced any issue till now, yes there is a slight lag during unlocking but thats still not a big deal . Hope its gets even more smooth after few updates"
57,"Good 👍 😊😊😊😊😊 nice good camera good battery pickup nice product thank you Flipkart
😃😃😃😃😃❤️❤️❤️❤️👍👍👍👍👌👌👌👌🌹🌹🌹"
58,Nice
59,Buying the best choice brilliant 👌
60,Very nice 👍
61,Very good product hai
62,Nice mobile this price range
63,It's a good one
64,Nice mobile
65,V good
66,"The Motorola M35 impresses with its sharp display, long-lasting battery, and smooth performance. An excellent choice for anyone seeking quality and affordability"
67,"Value for Money....
Under 10k"
68,Highly recommended. Best 5g phone at this price.
69,Thnks Moto G ✨🙏
70,Awesome
71,Very good
72,😊 good choice
73,Nice product in price range
74,Awesome product
75,Nice phone to under 10 thousand
76,Mind blowing purchasing
77,"Best phone under 10k , display is very good ,battery is very good and UI experience is very smooth. Camera is decent or ok ok.If you ur thinking about it please go for it."
78,"It's Quite good in this price segment. Initially the speed of the phone was not good , but after sometime it gets a good speed. Camera could be better Battery no too good till now"
79,This budget this one segment 👑 king compare to other brand under 10k any one thinking to buy a overall best performance mobile just look moto g35 .. seriously g35 red colour is just killer look...just one problem I say this mobile fingerprint sensor slightly slow working so I just say moto improve fingerprint sensor..overall all is superb 🔥
80,"The product is good at this price range . But you have to remember the below mentioned points
1. Call of duty mobile graphics do not go above medium
2. Even if the mobile is in idle mode , the battery drains.
3. The camera is average don't expect good pictures
4. 5g speed perfectly supports almost every telecom network
5. Design is awesome
6. 4/128 is great if u are mobile user for the surfing , downloading etc
7. REMEMBER IT IS NOT SUGGESTED TO GOOD VIDEO MOVIE EXPERIENCE , GAMING EXPERIENCE"
81,"Camera - average
Display - very Good
Battery - Good
Performance - average
Design - very good
I gifted this phone to my mother and she liked it 💝"
82,"Very good product ,camera quality is awesome and picture quality is very clear, design is super cool ,i will suggest if you think and have budget near 10k-11k must buy this is value for money smart phone....."
83,Good product under 10k
84,Good product of this money range🙏👍 Jai Shree Ram 🙏
85,Best phone.
86,I am using this phone for making calls and using social media. It's performing well. I will write about the performance later.
87,The Product is good but it would have been better if it was 6 GB Ram
88,"Camera - 8/10
Battery - 8/10
Display - 10/10
Design - 10/10
Performance - 10/10.

Good phone in this price range.
Front camera average."
89,Ok
90,"According to the price this product is very nice Gaming - You play lag free on smooth Graphics Camera - Good Quality photos
Performance - Very good for Normal use
Battery - Fast charging and long life
Heat - This phone gives low heat because of its leather back
Network - Some problems with network during gaming you see hing ping sometimes
Overall - This phone is a Good Budget phone
..........................................."
91,"Good product, overall decent, battery is draining fast."
92,"Mobile justifies its price
Value for money
Camera us avg
But
Display is awesome"
93,Nice 👍👍
94,Moto needs to improve software experience...
95,Good mobile 😍😍
96,Nice product but battery is no backup
97,good
98,Good. Value for money. Motorola always trusted mobile company. Amazing Design with futures.
99,Best in the price range...
100,"Very nice product.
Minutes delivery is very fast.
I got the phone within 2 minutes.
Overall phone performance is very good"
